Human Marker Symbol	Human Entrez Gene ID	HomoloGene ID	Mouse Marker Symbol	MGI Marker Accession ID	High-level Mammalian Phenotype ID (space-delimited)
P4HB	5034	55495	P4hb	  MGI:97464	  MP:0005379 MP:0005389 MP:0010768 MP:0005397 MP:0005378 MP:0005387 MP:0005380
P4HTM	54681	41765	P4htm	  MGI:1921693	  MP:0005376 MP:0005391 MP:0005367
PA2G4	5036	4513	Pa2g4	  MGI:894684	  MP:0005378 MP:0005384 MP:0005397 MP:0005389 MP:0005371
PABPC1	26986	37638	Pabpc1	  MGI:1349722	
PABPC1L	80336	77989	Pabpc1l	  MGI:1922908	  MP:0005384 MP:0005379 MP:0005397 MP:0005389
PABPC1L2A	340529	121627	Pabpc1l2b-ps	  MGI:3644774	
PABPC4	8761	37855	Pabpc4	  MGI:2385206	  MP:0005390 MP:0005385 MP:0005376
PABPC4L	132430	66336	Pabpc4l	  MGI:3643087	
PABPC5	140886	5857	Pabpc5	  MGI:2136401	
PABPN1	8106	3412	Pabpn1	  MGI:1859158	  MP:0005369 MP:0005376 MP:0005384 MP:0005386 MP:0010768
PABPN1L	390748	19736	Pabpn1l	  MGI:2685954	  MP:0005389
PACC1	55248	10097	Pacc1	  MGI:1914200	  MP:0005384 MP:0005376 MP:0003631
PACRG	135138	16212	Pacrg	  MGI:1916560	  MP:0005389
PACRGL	133015	12030	Pacrgl	  MGI:1914018	
PACS1	55690	9970	Pacs1	  MGI:1277113	  MP:0005379 MP:0005389 MP:0010768
PACS2	23241	15016	Pacs2	  MGI:1924399	  MP:0005386 MP:0005371 MP:0005390 MP:0005376 MP:0005384
PACSIN1	29993	22674	Pacsin1	  MGI:1345181	  MP:0005387 MP:0005391 MP:0003631 MP:0005389 MP:0005386 MP:0005384 MP:0005376 MP:0005378
PACSIN2	11252	21414	Pacsin2	  MGI:1345153	  MP:0005376 MP:0005397 MP:0005385 MP:0003631 MP:0005387 MP:0005386
PACSIN3	29763	41117	Pacsin3	  MGI:1891410	  MP:0005397
PADI1	29943	7881	Padi1	  MGI:1338893	
PADI2	11240	7214	Padi2	  MGI:1338892	  MP:0005376 MP:0005387 MP:0005397 MP:0005385 MP:0010768
PADI3	51702	7882	Padi3	  MGI:1338891	  MP:0010771 MP:0005397
PADI4	23569	7883	Padi4	  MGI:1338898	  MP:0005387 MP:0010768 MP:0005378 MP:0005397 MP:0005384
PADI6	353238	17695	Padi6	  MGI:2655198	  MP:0005380 MP:0005389 MP:0005384
PAF1	54623	5441	Paf1	  MGI:1923988	  MP:0005380 MP:0010768 MP:0005378
PAFAH1B1	5048	371	Pafah1b1	  MGI:109520	  MP:0005378 MP:0005379 MP:0005384 MP:0005386 MP:0005389 MP:0010768 MP:0003631
PAFAH1B2	5049	1932	Pafah1b2	  MGI:108415	  MP:0005379 MP:0005384 MP:0005389
PAFAH1B3	5050	1933	Pafah1b3	  MGI:108414	
PAFAH2	5051	37309	Pafah2	  MGI:2140321	  MP:0005370 MP:0005384 MP:0005376
PAG1	55824	10198	Pag1	  MGI:2443160	  MP:0005387 MP:0005397 MP:0005379
PAGR1	79447	11563	Pagr1a	  MGI:1914528	  MP:0005384 MP:0005378 MP:0010768 MP:0003631 MP:0005380
PAH	5053	234	Pah	  MGI:97473	  MP:0005376 MP:0005378 MP:0005389 MP:0010771 MP:0005391 MP:0003631 MP:0005367 MP:0005386 MP:0001186
PAICS	10606	4710	Paics	  MGI:1914304	  MP:0010768
PAIP1	10605	4709	Paip1	  MGI:2384993	
PAIP2	51247	22978	Paip2	  MGI:1915119	  MP:0005389
PAIP2B	400961	25798	Paip2b	  MGI:2386865	
PAK1	5058	1936	Pak1	  MGI:1339975	  MP:0005378 MP:0005384 MP:0005376 MP:0005369 MP:0005397 MP:0005385 MP:0005388 MP:0005387 MP:0005390 MP:0003631
PAK1IP1	55003	39574	Pak1ip1	  MGI:1915333	  MP:0005378 MP:0010771 MP:0005376 MP:0005384 MP:0005369 MP:0003631 MP:0005382 MP:0010768 MP:0005388 MP:0005390 MP:0005381
PAK2	5062	99711	Pak2	  MGI:1339984	  MP:0005384 MP:0005378 MP:0005386 MP:0005380 MP:0003631 MP:0005397 MP:0010768
PAK3	5063	55664	Pak3	  MGI:1339656	  MP:0003631 MP:0005386
PAK4	10298	4300	Pak4	  MGI:1917834	  MP:0005384 MP:0005369 MP:0005378 MP:0010771 MP:0003631 MP:0005385 MP:0010768 MP:0005380
PAK5	57144	22211	Pak7	  MGI:1920334	  MP:0005386 MP:0005376
PAK6	56924	23200	Pak6	  MGI:2679420	  MP:0005376
PALB2	79728	11652	Palb2	  MGI:3040695	  MP:0005378 MP:0005384 MP:0005386 MP:0005380 MP:0010768 MP:0005385 MP:0005397 MP:0005371 MP:0003631
PALD1	27143	8453	Pald1	  MGI:1351623	
PALLD	23022	75052	Palld	  MGI:1919583	  MP:0010768 MP:0005380 MP:0003631 MP:0005384
PALM	5064	1937	Palm	  MGI:1261814	
PALM3	342979	53493	Palm3	  MGI:1921587	  MP:0005386 MP:0003631
PALMD	54873	9804	Palmd	  MGI:2148896	
PAM	5066	37369	Pam	  MGI:97475	  MP:0005375 MP:0005376 MP:0005385 MP:0010768 MP:0005388 MP:0005380
PAM16	51025	41100	Pam16	  MGI:1913699	  MP:0010768 MP:0005386
PAMR1	25891	9134	Pamr1	  MGI:2445082	
PAN2	9924	5918	Pan2	  MGI:1918984	  MP:0010768
PAN3	255967	6372	Pan3	  MGI:1919837	
PANK1	53354	56979	Pank1	  MGI:1922985	  MP:0005378 MP:0005376 MP:0005384 MP:0005386 MP:0005370
PANK2	80025	65126	Pank2	  MGI:1921700	  MP:0005391 MP:0003631 MP:0005389 MP:0010768 MP:0005386 MP:0005384 MP:0005379 MP:0005378
PANK3	79646	56999	Pank3	  MGI:2387464	  MP:0005376 MP:0005397 MP:0005386 MP:0005390
PANK4	55229	41235	Pank4	  MGI:2387466	
PANTR1	100506421	NA	Pantr1	  MGI:1913547	
PANX1	24145	49416	Panx1	  MGI:1860055	  MP:0005376 MP:0005384 MP:0003631 MP:0005391 MP:0005387 MP:0005386 MP:0005388 MP:0005397
PANX2	56666	14155	Panx2	  MGI:1890615	  MP:0005376 MP:0003631 MP:0005389
PANX3	116337	82335	Panx3	  MGI:1918881	  MP:0005390 MP:0005387 MP:0005389 MP:0005376
PAOX	196743	72096	Paox	  MGI:1916983	  MP:0005375
PAPLN	89932	71541	Papln	  MGI:2386139	  MP:0005385
PAPOLA	10914	23389	Papola	  MGI:109301	
PAPOLB	56903	121622	Papolb	  MGI:1932115	  MP:0005384 MP:0005379 MP:0005389
PAPOLG	64895	56959	Papolg	  MGI:2442119	
PAPPA	5069	31097	Pappa	  MGI:97479	  MP:0005378 MP:0005390 MP:0005376 MP:0005385
PAPPA2	60676	10661	Pappa2	  MGI:3051647	  MP:0005382 MP:0005378 MP:0003631 MP:0005371 MP:0005387 MP:0005390 MP:0005370 MP:0005397 MP:0005385
PAPSS1	9061	81740	Papss1	  MGI:1330587	
PAPSS2	9060	55840	Papss2	  MGI:1330223	  MP:0005371 MP:0005381 MP:0005390 MP:0005387 MP:0010768 MP:0005378 MP:0005382 MP:0005376
PAQR3	152559	71077	Paqr3	  MGI:2679683	  MP:0005384 MP:0005376 MP:0010771 MP:0002006
PAQR4	124222	22278	Paqr4	  MGI:1923748	
PAQR5	54852	9788	Paqr5	  MGI:1921340	
PAQR6	79957	19746	Paqr6	  MGI:1916207	  MP:0005386
PAQR7	164091	12420	Paqr7	  MGI:1919154	  MP:0005386
PAQR8	85315	32702	Paqr8	  MGI:1921479	
PAQR9	344838	18882	Paqr9	  MGI:1922802	
PARAL1	101929371	NA	Paral1	  MGI:2677839	
PARD3	56288	10489	Pard3	  MGI:2135608	  MP:0005380 MP:0002006 MP:0001186 MP:0010768 MP:0005397 MP:0005385 MP:0005391 MP:0005371 MP:0003631 MP:0005376 MP:0010771 MP:0005378
PARD3B	117583	35389	Pard3b	  MGI:1919301	  MP:0005386 MP:0005385 MP:0005391
PARD6A	50855	9661	Pard6a	  MGI:1927223	  MP:0005390 MP:0005378 MP:0005375
PARD6B	84612	23302	Pard6b	  MGI:2135605	
PARD6G	84552	36487	Pard6g	  MGI:2135606	
PARG	8505	50532	Parg	  MGI:1347094	  MP:0005379 MP:0005376 MP:0005384 MP:0003631 MP:0005397 MP:0010768 MP:0005389 MP:0005380 MP:0005387
PARK7	11315	38295	Park7	  MGI:2135637	  MP:0003631 MP:0005386 MP:0005384 MP:0005376 MP:0005378
PARL	55486	10239	Parl	  MGI:1277152	  MP:0005384 MP:0005369 MP:0005378 MP:0005379 MP:0005386 MP:0005370 MP:0005388 MP:0005387 MP:0005390 MP:0003631 MP:0010768 MP:0005389 MP:0005397 MP:0005385
PARM1	25849	41036	Parm1	  MGI:2443349	
PARN	5073	31098	Parn	  MGI:1921358	
PARP1	142	1222	Parp1	  MGI:1340806	  MP:0005376 MP:0005384 MP:0005378 MP:0010768 MP:0010771 MP:0005389 MP:0005377 MP:0003631 MP:0005391 MP:0005387 MP:0005367 MP:0005386 MP:0005397
PARP10	84875	53133	Parp10	  MGI:3712326	  MP:0003631
PARP11	57097	10680	Parp11	  MGI:2141505	  MP:0005384 MP:0005389
PARP12	64761	11236	Parp12	  MGI:2143990	  MP:0005379 MP:0005389
PARP14	54625	19697	Parp14	  MGI:1919489	  MP:0005387 MP:0005384 MP:0005397
PARP16	54956	9878	Parp16	  MGI:2446133	
PARP2	10038	4004	Parp2	  MGI:1341112	  MP:0005376 MP:0005384 MP:0010768
PARP3	10039	4005	Parp3	  MGI:1891258	
PARP4	143	124423	Parp4	  MGI:2685589	
PARP6	56965	10627	Parp6	  MGI:1914537	
PARP8	79668	11621	Parp8	  MGI:1098713	  MP:0005376 MP:0005386
PARP9	83666	12720	Parp9	  MGI:1933117	
PARPBP	55010	49519	Parpbp	  MGI:1922567	
PARS2	25973	5830	Pars2	  MGI:2386296	
PARVA	55742	10077	Parva	  MGI:1931144	  MP:0005376 MP:0005369 MP:0005378 MP:0005380 MP:0005367 MP:0010768 MP:0005385
PARVB	29780	8342	Parvb	  MGI:2153063	  MP:0005376 MP:0005397 MP:0005378 MP:0005390 MP:0005387
PARVG	64098	11151	Parvg	  MGI:2158329	
PASK	23178	9038	Pask	  MGI:2155936	  MP:0003631 MP:0005388 MP:0005370 MP:0005376 MP:0005369 MP:0005379 MP:0005378
PATE1	160065	89136	Pate1	  MGI:4936886	
PATE2	399967	86016	Pate2	  MGI:2685692	  MP:0005385
PATE3	100169851	129908	Pate3	  MGI:4936999	
PATE4	399968	49624	Pate4	  MGI:1930790	  MP:0005389 MP:0005386
PATJ	10207	72199	Patj	  MGI:1277960	
PATL1	219988	82269	Patl1	  MGI:2147679	  MP:0003631 MP:0005386 MP:0010768
PATL2	197135	12155	Patl2	  MGI:1914828	  MP:0005379 MP:0005384 MP:0005389
PATZ1	23598	8636	Patz1	  MGI:1891832	  MP:0010768 MP:0005389 MP:0005397 MP:0005385 MP:0005380 MP:0005387 MP:0003631 MP:0005378 MP:0005379 MP:0005384
PAUPAR	103157000	NA	Paupar	  MGI:5543919	
PAWR	5074	1940	Pawr	  MGI:2149961	  MP:0005386 MP:0010768 MP:0005397 MP:0005384 MP:0005376 MP:0005387
PAX1	5075	4514	Pax1	  MGI:97485	  MP:0005369 MP:0005382 MP:0005384 MP:0005378 MP:0005397 MP:0005379 MP:0005371 MP:0005387 MP:0005390 MP:0005380 MP:0005386 MP:0010768
PAX2	5076	2968	Pax2	  MGI:97486	  MP:0005384 MP:0005379 MP:0005367 MP:0003631 MP:0005377 MP:0005391 MP:0005385 MP:0010768 MP:0005389 MP:0001186 MP:0005380
PAX3	5077	22494	Pax3	  MGI:97487	  MP:0005376 MP:0005384 MP:0005369 MP:0005382 MP:0005378 MP:0010771 MP:0005379 MP:0005388 MP:0005387 MP:0005390 MP:0005381 MP:0005371 MP:0005377 MP:0003631 MP:0005391 MP:0005385 MP:0005397 MP:0010768 MP:0001186 MP:0002006 MP:0005380
PAX4	5078	4515	Pax4	  MGI:97488	  MP:0005376 MP:0005379 MP:0010768 MP:0005378
PAX5	5079	56419	Pax5	  MGI:97489	  MP:0005385 MP:0005397 MP:0010768 MP:0005386 MP:0005390 MP:0005387 MP:0005369 MP:0005377 MP:0003631 MP:0005378 MP:0005376 MP:0005384 MP:0005382
PAX6	5080	1212	Pax6	  MGI:97490	  MP:0002006 MP:0001186 MP:0010768 MP:0005389 MP:0005385 MP:0005386 MP:0005388 MP:0005380 MP:0005390 MP:0005387 MP:0005391 MP:0005382 MP:0003631 MP:0005377 MP:0005381 MP:0005369 MP:0005379 MP:0005394 MP:0010771 MP:0005378 MP:0005384 MP:0005376
PAX7	5081	55665	Pax7	  MGI:97491	  MP:0005378 MP:0010771 MP:0005379 MP:0005369 MP:0005382 MP:0005384 MP:0005390 MP:0005380 MP:0005388 MP:0010768 MP:0005381 MP:0005387
PAX8	7849	2589	Pax8	  MGI:97492	  MP:0005379 MP:0005378 MP:0005382 MP:0005390 MP:0005376 MP:0005384 MP:0005380 MP:0005385 MP:0005389 MP:0010768 MP:0005391 MP:0005371 MP:0005377 MP:0003631
PAX9	5083	31360	Pax9	  MGI:97493	  MP:0005379 MP:0005378 MP:0005382 MP:0005369 MP:0005381 MP:0005377 MP:0005371 MP:0005397 MP:0010768 MP:0005388 MP:0005386 MP:0005380 MP:0005390 MP:0005387
PAXBP1	94104	9604	Paxbp1	  MGI:1914617	
PAXIP1	22976	NA	Paxip1	  MGI:1890430	  MP:0005380 MP:0010768 MP:0005385 MP:0005376 MP:0010771 MP:0005378 MP:0005384
PAXX	286257	17788	Paxx	  MGI:2442831	  MP:0005376 MP:0005387 MP:0005397 MP:0010768
PBDC1	51260	9542	Pbdc1	  MGI:1914933	
PBK	55872	32415	Pbk	  MGI:1289156	  MP:0010771 MP:0005387
PBLD	64081	41470	Pbld1	  MGI:1915621	
PBRM1	55193	10044	Pbrm1	  MGI:1923998	  MP:0005367 MP:0005387 MP:0010768 MP:0005397 MP:0005385 MP:0005386 MP:0005370 MP:0005388 MP:0005380 MP:0005384
PBX1	5087	20574	Pbx1	  MGI:97495	  MP:0010771 MP:0005378 MP:0005379 MP:0005369 MP:0005382 MP:0005384 MP:0005387 MP:0005376 MP:0005367 MP:0005390 MP:0005380 MP:0005386 MP:0005388 MP:0005370 MP:0010768 MP:0005389 MP:0005397 MP:0005385 MP:0005377 MP:0005371 MP:0005381
PBX2	5089	48115	Pbx2	  MGI:1341793	
PBX3	5090	21243	Pbx3	  MGI:97496	  MP:0005376 MP:0005384 MP:0005382 MP:0005378 MP:0010771 MP:0005379 MP:0005375 MP:0005388 MP:0005386 MP:0005390 MP:0003631 MP:0005385 MP:0005389 MP:0010768
PBX4	80714	57027	Pbx4	  MGI:1931321	
PBXIP1	57326	10740	Pbxip1	  MGI:2441670	  MP:0005378 MP:0005376 MP:0005390 MP:0005371 MP:0005387
PC	5091	5422	Pcx	  MGI:97520	  MP:0005386 MP:0010768 MP:0005397
PCARE	388939	19792	Pcare	  MGI:2385061	  MP:0005397 MP:0001186 MP:0003631 MP:0005391 MP:0005387 MP:0005384
PCBD1	5092	57028	Pcbd1	  MGI:94873	  MP:0005367 MP:0005391 MP:0001186 MP:0005376 MP:0010771
PCBD2	84105	49987	Pcbd2	  MGI:1919812	
PCBP1	5093	68506	Pcbp1	  MGI:1345635	  MP:0005378 MP:0010768
PCBP2	5094	74536	Pcbp2	  MGI:108202	  MP:0005385 MP:0005397 MP:0010768 MP:0005378 MP:0005376
PCBP3	54039	23233	Pcbp3	  MGI:1890470	
PCBP4	57060	56926	Pcbp4	  MGI:1890471	  MP:0005367 MP:0005388 MP:0005378 MP:0002006 MP:0005384
PCCA	5095	236	Pcca	  MGI:97499	  MP:0005386 MP:0005370 MP:0010768 MP:0005367 MP:0005376 MP:0010771
PCCB	5096	447	Pccb	  MGI:1914154	  MP:0010768
PCDH1	5097	12613	Pcdh1	  MGI:104692	
PCDH10	57575	74967	Pcdh10	  MGI:1338042	  MP:0003631 MP:0010768 MP:0005378
PCDH11X	27328	13194	Pcdh11x	  MGI:2442849	
PCDH12	51294	9574	Pcdh12	  MGI:1855700	
PCDH15	65217	23401	Pcdh15	  MGI:1891428	  MP:0005386 MP:0005377 MP:0003631 MP:0005390 MP:0005378 MP:0005369 MP:0005384
PCDH17	27253	8700	Pcdh17	  MGI:2684924	  MP:0003631 MP:0005386
PCDH18	54510	10389	Pcdh18	  MGI:1920423	  MP:0005375 MP:0005378 MP:0005386 MP:0005390 MP:0005391 MP:0005371 MP:0005385
PCDH19	57526	18916	Pcdh19	  MGI:2685563	  MP:0005384 MP:0003631
PCDH20	64881	11277	Pcdh20	  MGI:2443376	
PCDH7	5099	36101	Pcdh7	  MGI:1860487	
PCDH8	5100	1943	Pcdh8	  MGI:1306800	
PCDH9	5101	10698	Pcdh9	  MGI:1306801	  MP:0003631 MP:0005386 MP:0010768
PCDHA1	56147	75093	Pcdha1	  MGI:2150982	
PCDHA10	56139	130700	Pcdha9	  MGI:2447322	  MP:0005385
PCDHA11	56138	75095	Pcdha11	  MGI:1298372	
PCDHA12	56137	135720	Pcdha10	  MGI:1298408	
PCDHA13	56136	135870	Pcdha12	  MGI:1298370	
PCDHA2	56146	135719	Pcdha2	  MGI:2681880	
PCDHA3	56145	129613	Pcdha3	  MGI:2447313	
PCDHA4	56144	130626	Pcdha4	  MGI:1298406	
PCDHA5	56143	49565	Pcdha5	  MGI:1298371	
PCDHA6	56142	75098	Pcdha6	  MGI:1298367	
PCDHA7	56141	117962	Pcdha7	  MGI:1298369	
PCDHA9	9752	129614	Pcdha8	  MGI:2681879	
PCDHAC1	56135	49561	Pcdhac1	  MGI:1891442	
PCDHAC2	56134	49562	Pcdhac2	  MGI:1891443	
PCDHB1	29930	8348	Pcdhb1	  MGI:2136730	
PCDHB11	56125	134302	Pcdhb21	  MGI:2136759	
PCDHB12	56124	128411	Pcdhb19	  MGI:2136757	
PCDHB14	56122	134303	Pcdhb20	  MGI:2136758	
PCDHB15	56121	113752	Pcdhb22	  MGI:2136760	
PCDHB16	57717	81881	Pcdhb17	  MGI:2136754	
PCDHB2	56133	69266	Pcdhb2	  MGI:2136735	
PCDHB3	56132	115665	Pcdhb3	  MGI:2136737	
PCDHB4	56131	75103	Pcdhb5	  MGI:2136739	
PCDHB5	26167	88834	Pcdhb10	  MGI:2136745	
PCDHB6	56130	10338	Pcdhb13	  MGI:2136748	
PCDHB7	56129	32429	Pcdhb15	  MGI:2136750	
PCDHB8	56128	99843	Pcdhb16	  MGI:2136752	
PCDHGA1	56114	56824	Pcdhga1	  MGI:1935212	
PCDHGA10	56106	49567	Pcdhga10	  MGI:1935227	
PCDHGA11	56105	110934	Pcdhga11	  MGI:1935228	
PCDHGA12	26025	134588	Pcdhga12	  MGI:1935229	
PCDHGA2	56113	69262	Pcdhga2	  MGI:1935214	
PCDHGA3	56112	75100	Pcdhga3	  MGI:1935215	
PCDHGA4	56111	81866	Pcdhga4	  MGI:1935216	
PCDHGA5	56110	69263	Pcdhga5	  MGI:1935217	
PCDHGA6	56109	129611	Pcdhga6	  MGI:1935218	
PCDHGA7	56108	36377	Pcdhga7	  MGI:1935219	
PCDHGA8	9708	57162	Pcdhga8	  MGI:1935221	
PCDHGA9	56107	56827	Pcdhga9	  MGI:1935226	
PCDHGB1	56104	81867	Pcdhgb1	  MGI:1935169	
PCDHGB2	56103	49571	Pcdhgb2	  MGI:1935170	
PCDHGB4	8641	74507	Pcdhgb4	  MGI:1935173	
PCDHGB5	56101	55773	Pcdhgb5	  MGI:1935196	
PCDHGB6	56100	49573	Pcdhgb6	  MGI:1935197	
PCDHGB7	56099	75102	Pcdhgb7	  MGI:1935199	
PCDHGB8P	56120	81868	Pcdhgb8	  MGI:1935200	
PCDHGC3	5098	31099	Pcdhgc3	  MGI:1935201	
PCDHGC4	56098	110932	Pcdhgc4	  MGI:1935203	
PCDHGC5	56097	110933	Pcdhgc5	  MGI:1935205	
PCED1A	64773	11241	Pced1a	  MGI:2442177	
PCED1B	91523	16301	Pced1b	  MGI:2446270	
PCF11	51585	32282	Pcf11	  MGI:1919579	
PCGF1	84759	13090	Pcgf1	  MGI:1917087	  MP:0005382 MP:0005378 MP:0005385 MP:0010768 MP:0003631 MP:0005380
PCGF2	7703	5174	Pcgf2	  MGI:99161	  MP:0010768 MP:0005389 MP:0005397 MP:0005387 MP:0005390 MP:0005382 MP:0005378 MP:0005379 MP:0005376
PCGF3	10336	4605	Pcgf3	  MGI:1916837	  MP:0005397 MP:0005387
PCGF5	84333	12632	Pcgf5	  MGI:1923505	
PCGF6	84108	12378	Pcgf6	  MGI:1918291	  MP:0005378 MP:0005397 MP:0010768 MP:0005380 MP:0005390
PCID2	55795	10168	Pcid2	  MGI:2443003	  MP:0005387 MP:0005381 MP:0005397 MP:0010768 MP:0005384 MP:0005379
PCIF1	63935	11134	Pcif1	  MGI:2443858	
PCK1	5105	1944	Pck1	  MGI:97501	  MP:0005386 MP:0005370 MP:0010768 MP:0005378 MP:0010771 MP:0005375 MP:0005376
PCK2	5106	3356	Pck2	  MGI:1860456	
PCLAF	9768	8829	Pclaf	  MGI:1915276	  MP:0005384 MP:0005379 MP:0005387 MP:0005390 MP:0005397
PCLO	27445	69111	Pclo	  MGI:1349390	  MP:0010768 MP:0003631 MP:0005378
PCM1	5108	4518	Pcm1	  MGI:1277958	  MP:0010771 MP:0005382 MP:0005390 MP:0005386 MP:0005397 MP:0003631 MP:0005387
PCMT1	5110	135759	Pcmt1	  MGI:97502	  MP:0005397 MP:0010768 MP:0005388 MP:0005386 MP:0005390 MP:0005387 MP:0005369 MP:0003631 MP:0005378 MP:0005376 MP:0005384
PCMTD1	115294	14180	Pcmtd1	  MGI:2441773	
PCMTD2	55251	10099	Pcmtd2	  MGI:1923927	
PCNA	5111	1945	Pcna	  MGI:97503	  MP:0005389 MP:0010768 MP:0005397 MP:0005387 MP:0005378 MP:0005379 MP:0005375 MP:0005384
PCNP	57092	10676	Pcnp	  MGI:1923552	  MP:0010768
PCNT	5116	NA	Pcnt	  MGI:102722	  MP:0005378 MP:0005382 MP:0005367 MP:0005390 MP:0005376 MP:0005384 MP:0005388 MP:0005386 MP:0005380 MP:0005385 MP:0010768 MP:0005391 MP:0005381 MP:0005371 MP:0003631
PCNX1	22990	40997	Pcnx	  MGI:1891924	
PCNX2	80003	8987	Pcnx2	  MGI:2445010	  MP:0005386
PCNX3	399909	17000	Pcnx3	  MGI:1861733	
PCNX4	64430	23366	Pcnx4	  MGI:1914958	
PCOLCE	5118	1946	Pcolce	  MGI:105099	  MP:0005371 MP:0005369 MP:0005390
PCOLCE2	26577	8357	Pcolce2	  MGI:1923727	
PCP2	126006	7464	Pcp2	  MGI:97508	
PCP4	5121	4519	Pcp4	  MGI:97509	  MP:0005386 MP:0003631
PCP4L1	654790	136091	Pcp4l1	  MGI:1913675	
PCSK1	5122	379	Pcsk1	  MGI:97511	  MP:0010768 MP:0005389 MP:0005385 MP:0005397 MP:0005386 MP:0005387 MP:0005391 MP:0005381 MP:0005369 MP:0005375 MP:0005379 MP:0005378 MP:0005376
PCSK1N	27344	8315	Pcsk1n	  MGI:1353431	  MP:0005381 MP:0005391 MP:0005388 MP:0005386 MP:0005378
PCSK2	5126	37640	Pcsk2	  MGI:97512	  MP:0005376 MP:0005384 MP:0005379 MP:0002006 MP:0005385 MP:0010771 MP:0010768 MP:0005389 MP:0005367 MP:0005386
PCSK4	54760	22495	Pcsk4	  MGI:97514	  MP:0005384 MP:0005376 MP:0005389
PCSK5	5125	21244	Pcsk5	  MGI:97515	  MP:0010768 MP:0005397 MP:0005385 MP:0005388 MP:0005380 MP:0005390 MP:0005367 MP:0005387 MP:0005382 MP:0003631 MP:0005371 MP:0005381 MP:0005379 MP:0005378 MP:0005384 MP:0005376
PCSK6	5046	20569	Pcsk6	  MGI:102897	  MP:0005390 MP:0003631 MP:0005381 MP:0005391 MP:0005389 MP:0010768 MP:0005385 MP:0002006 MP:0005380 MP:0005388 MP:0005382 MP:0005378 MP:0005379
PCSK7	9159	37955	Pcsk7	  MGI:107421	
PCSK9	255738	17790	Pcsk9	  MGI:2140260	  MP:0005370 MP:0005376
PCTP	58488	32054	Pctp	  MGI:107375	  MP:0005387 MP:0005397 MP:0005370 MP:0005384 MP:0005376
PCYOX1	51449	9458	Pcyox1	  MGI:1914131	
PCYOX1L	78991	23429	Pcyox1l	  MGI:3606062	  MP:0005385 MP:0005386 MP:0005390
PCYT1A	5130	3680	Pcyt1a	  MGI:88557	  MP:0005389 MP:0010768 MP:0005385 MP:0005397 MP:0005388 MP:0005380 MP:0005387 MP:0005376
PCYT1B	9468	3564	Pcyt1b	  MGI:2147987	  MP:0002006 MP:0005389 MP:0005376 MP:0005379
PCYT2	5833	2143	Pcyt2	  MGI:1915921	  MP:0010768 MP:0005370 MP:0005376
PDAP1	11333	8927	Pdap1	  MGI:2448536	
PDC	5132	1950	Pdc	  MGI:98090	  MP:0005367 MP:0003631 MP:0005391 MP:0005385 MP:0005376 MP:0005369
PDCD1	5133	3681	Pdcd1	  MGI:104879	  MP:0005388 MP:0005370 MP:0005385 MP:0005397 MP:0010768 MP:0002006 MP:0003631 MP:0005391 MP:0005387 MP:0005384 MP:0005367 MP:0005390 MP:0005379 MP:0005369
PDCD10	11235	10505	Pdcd10	  MGI:1928396	  MP:0005391 MP:0003631 MP:0005367 MP:0005387 MP:0005386 MP:0005380 MP:0002006 MP:0010771 MP:0010768 MP:0005378 MP:0005385 MP:0005397 MP:0005369 MP:0005384 MP:0005376
PDCD11	22984	74968	Pdcd11	  MGI:1341788	
PDCD1LG2	80380	10973	Pdcd1lg2	  MGI:1930125	  MP:0005397 MP:0010768 MP:0002006 MP:0005387 MP:0005384 MP:0005379 MP:0005376
PDCD2	5134	1951	Pdcd2	  MGI:104643	  MP:0005380 MP:0010768 MP:0005391 MP:0005378
PDCD2L	84306	41861	Pdcd2l	  MGI:1915329	
PDCD4	27250	7879	Pdcd4	  MGI:107490	  MP:0010768 MP:0005389 MP:0002006 MP:0005387 MP:0005367 MP:0005379
PDCD5	9141	10506	Pdcd5	  MGI:1913538	
PDCD6	10016	7880	Pdcd6	  MGI:109283	
PDCD6IP	10015	22614	Pdcd6ip	  MGI:1333753	  MP:0005378 MP:0005384 MP:0005382 MP:0003631 MP:0005388 MP:0005390
PDCD7	10081	4170	Pdcd7	  MGI:1859170	
PDCL	5082	38043	Pdcl	  MGI:1914716	  MP:0005376 MP:0003631 MP:0005391
PDCL2	132954	74832	Pdcl2	  MGI:1890655	
PDCL3	79031	7012	Pdcl3	  MGI:1916083	
PDE10A	10846	4852	Pde10a	  MGI:1345143	  MP:0005378 MP:0005375 MP:0005376 MP:0005386 MP:0003631
PDE11A	50940	56763	Pde11a	  MGI:3036251	  MP:0005386 MP:0003631
PDE12	201626	14272	Pde12	  MGI:2443226	  MP:0010768
PDE1A	5136	21043	Pde1a	  MGI:1201792	  MP:0005386
PDE1B	5153	37370	Pde1b	  MGI:97523	  MP:0005386
PDE1C	5137	3682	Pde1c	  MGI:108413	  MP:0005394
PDE2A	5138	1952	Pde2a	  MGI:2446107	  MP:0010768
PDE3A	5139	708	Pde3a	  MGI:1860764	  MP:0005389
PDE3B	5140	709	Pde3b	  MGI:1333863	  MP:0005378 MP:0010771 MP:0005375 MP:0005379 MP:0005376 MP:0001186 MP:0005390 MP:0005371
PDE4A	5141	4520	Pde4a	  MGI:99558	
PDE4B	5142	1953	Pde4b	  MGI:99557	  MP:0005384 MP:0005386 MP:0005397 MP:0010768 MP:0003631 MP:0005387
PDE4C	5143	20256	Pde4c	  MGI:99556	  MP:0005386
